,0,1,2,3
"[0.5, 0.5]",,,-4.8975021805503465,-5.157372303691244
"[1.5, 0.5]",,-3.733793322118672,-3.4613723816423647,
"[2.5, 0.5]",,-2.2759557128504864,-2.044592944774706,
"[0.5, 1.5]",-3.9154131289421903,,,-3.870824370868573
"[0.5, 2.5]",-2.8128375019765253,,,-2.7513647375553085
"[0.5, 3.5]",-1.9782804791283173,,,-1.8479834847985697
"[3.5, 0.5]",,-1.121708348877186,-0.9862757956763056,-0.8986713077459073
"[3.5, 1.5]",-0.6478504851816228,,,-0.5579773196499219
"[3.5, 2.5]",-0.3704402176059961,,,-0.34508028684370273
"[3.5, 3.5]",-0.30294125006710915,,,-0.283022674032145
"[4.5, 0.5]",,-0.5227311106138008,-0.5030615363702421,
"[5.5, 0.5]",,-0.23910221935175924,-0.2163790293460545,
"[0.5, 4.5]",-1.46965229570932,,-1.4072988036651564,
"[1.5, 4.5]",,-1.0375164757519504,-0.9802219856869758,
"[2.5, 4.5]",,-0.6047362592901957,-0.5518081670587272,
"[3.5, 4.5]",-0.3188841681341996,-0.315758347776601,-0.0999731073399562,
"[4.5, 4.5]",,-0.0878204254894122,5.221470108047359,
"[5.5, 4.5]",,-0.0185346758874412,103.86504480051053,
"[6.5, 0.5]",,-0.14006305433782934,,-0.1255323189078
"[6.5, 1.5]",-0.183348503312,,,-0.06280664922
"[6.5, 2.5]",-0.13,,,0.2294673801864897
"[6.5, 4.5]",1.5530259603524623,-0.0146,,
"[6.5, 3.5]",-0.0182801,,,38.19001427515705
