,0,1,2,3
"[2.5, 0.5]",,-0.18905000000000002,0.38103498862,
"[1.5, 0.5]",,-0.09999999999999991,0.09000000000000004,
"[0.5, 0.5]",,,0.0,0.09299999999999997
"[0.5, 1.5]",0.0,,,0.19002000000000002
"[0.5, 2.5]",-0.09011800000000002,,,0.09699999999999998
"[0.5, 3.5]",0.0,,,0.10199999999999997
"[0.5, 4.5]",0.0,,0.1899800000000001,
"[1.5, 4.5]",,-0.09308200000000005,0.2800503000000001,
"[2.5, 4.5]",,-0.17843454000000009,0.102,
"[3.5, 4.5]",0.0,0.0,0.35464989999999996,
"[4.5, 4.5]",,0.0,5.9402,
"[5.5, 4.5]",,0.0,0.0,
"[3.5, 0.5]",,-0.091082,0.09900000000000002,0.20766118000000006
"[3.5, 1.5]",0.0,,,0.28501180000000004
"[3.5, 2.5]",-0.08911800000000003,,,0.198937019
"[3.5, 3.5]",0.0,,,0.20183418
"[4.5, 0.5]",,0.0,0.18900000000000006,
"[5.5, 0.5]",,-0.09010000000000001,0.102,
"[6.5, 0.5]",,0.0,,0.0
