,0,1,2,3
"[0.5, 0.5]",,,-1.9994042990227294,-1.9710718229711799
"[1.5, 0.5]",,-1.3100050579383933,-1.3272582522722922,
"[2.5, 0.5]",,-0.729230920231223,-0.7626980343936575,
"[0.5, 1.5]",-1.4098988617784387,,,-1.3669707093394632
"[0.5, 2.5]",-0.8170190562132715,,,-0.8757465124570581
"[0.5, 3.5]",-0.5608487652847491,,,-0.5193409690441821
"[3.5, 0.5]",,-0.3238954108604949,-0.3061184086855284,-0.24673064251000004
"[3.5, 1.5]",-0.14739962167891904,,,-0.20578336880999998
"[3.5, 2.5]",-0.12469059659511028,,,-0.12309503699999999
"[3.5, 3.5]",-0.10684540000000001,,,-0.1218896830516
"[4.5, 0.5]",,-0.06863191186646768,-0.10902800000000001,
"[5.5, 0.5]",,-0.058417687206798206,-0.04360000000000001,
"[0.5, 4.5]",-0.416352404588321,,-0.39728903187653813,
"[1.5, 4.5]",,-0.2972252598899987,-0.2793286212532277,
"[2.5, 4.5]",,-0.19905848770840956,-0.21569186395464787,
"[3.5, 4.5]",-0.12216731596478,-0.15623087454233092,-0.13787770990962,
"[4.5, 4.5]",,-0.05940843193791032,-0.05786099,
"[5.5, 4.5]",,0.0,-0.0051,
"[6.5, 0.5]",,-0.0499,,-0.0332
"[6.5, 1.5]",-0.041100000000000005,,,-0.022799999999999997
"[6.5, 2.5]",-0.03,,,0.0
"[6.5, 4.5]",0.0,-0.0146,,
