,0,1,2,3
"[0.5, 0.5]",,,-0.5019022865879718,-0.4945794507997238
"[0.5, 1.5]",-0.41941363297303597,,,-0.4100571585500847
"[1.5, 0.5]",,-0.4199563505023257,-0.421425087874236,
"[0.5, 2.5]",-0.353739578875763,,,-0.3537242101792809
"[2.5, 0.5]",,-0.3390376389671619,-0.33786556943447615,
"[3.5, 0.5]",,-0.2481351571901813,-0.250625269945867,-0.24197803208629107
"[4.5, 0.5]",,-0.20204312981041458,-0.2034237313413856,
"[5.5, 0.5]",,-0.1526309817628647,-0.14604779396248524,
"[6.5, 0.5]",,-0.10156896680654821,,-0.09795394352025297
"[3.5, 1.5]",-0.2022756937116119,,,-0.19454493531033007
"[3.5, 2.5]",-0.15200314864360814,,,-0.13717918893911402
"[3.5, 3.5]",-0.09065181916052004,,,-0.09582667489168173
"[3.5, 4.5]",-0.05007786535119432,-0.060621165220089396,0.2503333717176713,
"[4.5, 4.5]",,-0.02008071919,13.880575478109382,
"[2.5, 4.5]",,-0.12167624811192859,-0.1140424691506026,
"[1.5, 4.5]",,-0.18270026126672334,-0.17434320730334155,
"[0.5, 4.5]",-0.23281191579762858,,-0.23198801436934557,
"[0.5, 3.5]",-0.2935625782686806,,,-0.2794897926735576
"[6.5, 1.5]",-0.05070846556190638,,,-0.044966282373909996
"[6.5, 2.5]",-0.02017301823010255,,,2.5973939699000006
"[6.5, 3.5]",0.0,,,147.02985030000002
"[6.5, 4.5]",0.0,0.0,,
"[5.5, 4.5]",,0.0,313.9852372238507,
