,0,1,2,3
"[0.5, 0.5]",,,-7.0047708318843505,-7.061898270522872
"[1.5, 0.5]",,-5.149123121788789,-5.19632568394585,
"[2.5, 0.5]",,-3.3874168397288584,-3.3620430714245986,
"[0.5, 1.5]",-5.411050702631418,,,-5.407354953546844
"[0.5, 2.5]",-3.8889961125623222,,,-3.8613266989272486
"[0.5, 3.5]",-2.750803512124043,,,-2.7475201195463734
"[3.5, 0.5]",,-1.656385861751967,-1.652078586279429,-1.6718432387795683
"[3.5, 1.5]",-1.155306462833002,,,-1.1425598848405938
"[3.5, 2.5]",-0.7364382911571158,,,-0.7290887171825756
"[3.5, 3.5]",-0.4982801336387617,,,-0.4967817868940492
"[4.5, 0.5]",,-0.9406776434993447,-0.8926083763965759,
"[5.5, 0.5]",,-0.4940015549288954,-0.4492878537878456,
"[0.5, 4.5]",-2.038883319627319,,-2.007715863894423,
"[1.5, 4.5]",,-1.3477533913393718,-1.346790540600496,
"[2.5, 4.5]",,-0.8159603632444223,-0.7895344214721483,
"[3.5, 4.5]",-0.4015907910139599,-0.402594046264066,-0.3270435309151464,
"[4.5, 4.5]",,-0.0878204254894122,4.213907672596986,
"[5.5, 4.5]",,-0.02001913274124955,55.331133791025294,
"[6.5, 0.5]",,-0.20252818228368938,,-0.18831155556170198
"[6.5, 1.5]",-0.12358073872175653,,,-0.1022236914688146
"[6.5, 2.5]",-0.059150136529808,,,0.52737225393506
"[6.5, 4.5]",2.614617033009237,0.4038834259370429,,
"[6.5, 3.5]",-0.04563983001,,,46.77499525243033
