,0,1,2,3
"[0.5, 0.5]",,,-4.892158710606852,-4.86193867000594
"[1.5, 0.5]",,-3.5178513519478205,-3.5722008058834205,
"[2.5, 0.5]",,-2.2759557128504864,-2.3141289354393746,
"[0.5, 1.5]",-3.70442966509506,,,-3.71460354360092
"[0.5, 2.5]",-2.620117406243508,,,-2.6233836071306054
"[0.5, 3.5]",-1.8065028200472484,,,-1.7378552683102717
"[3.5, 0.5]",,-1.1060763711660213,-0.9970516831168307,-0.9478097712737399
"[3.5, 1.5]",-0.6440656108447725,,,-0.5890490676178047
"[3.5, 2.5]",-0.3672715485915621,,,-0.3641593765275077
"[3.5, 3.5]",-0.30294125006710915,,,-0.3298796465056464
"[4.5, 0.5]",,-0.4994709867467766,-0.5061664463148894,
"[5.5, 0.5]",,-0.23910221935175924,-0.24741716872239855,
"[0.5, 4.5]",-1.260925392209061,,-1.3027214825174191,
"[1.5, 4.5]",,-0.8461485835700863,-0.8689120426778296,
"[2.5, 4.5]",,-0.49607247209318817,-0.5252637587735133,
"[3.5, 4.5]",-0.3188841681341996,-0.315758347776601,-0.3107828747721118,
"[4.5, 4.5]",,-0.0878204254894122,0.7801644253113932,
"[5.5, 4.5]",,-0.018534675887441194,18.89555273082894,
"[6.5, 0.5]",,-0.10006305433782936,,-0.12622581232
"[6.5, 1.5]",-0.083348503312,,,-0.063196079
"[6.5, 2.5]",-0.03,,,-0.026947890000000002
"[6.5, 4.5]",1.5530259603524623,-0.0146,,
"[6.5, 3.5]",-0.0182801,,,28.460643476276633
