,0,1,2,3
"[0.5, 0.5]",,,-8.873709084239145,-8.831396489231961
"[1.5, 0.5]",,-6.590801171384712,-6.564244980717817,
"[2.5, 0.5]",,-4.31758207529498,-4.39622649849477,
"[0.5, 1.5]",-6.9329040868023695,,,-6.882902804240009
"[0.5, 2.5]",-5.179360898991517,,,-5.195656990464163
"[0.5, 3.5]",-3.8720063344787827,,,-3.7560269455923274
"[3.5, 0.5]",,-2.3108061824322292,-2.274776696166639,-2.261214178282805
"[3.5, 1.5]",-1.6019464308924976,,,-1.625650564393132
"[3.5, 2.5]",-1.1114777763470272,,,-0.9855736676448679
"[3.5, 3.5]",-0.6062449944322215,,,-0.603945275975109
"[4.5, 0.5]",,-1.2465599928756466,-1.2180641312698828,
"[5.5, 0.5]",,-0.6170954849421126,-0.6062147767596157,
"[0.5, 4.5]",-2.770145579569678,,-2.804231176201739,
"[1.5, 4.5]",,-1.8733470395861194,-1.8621281040665696,
"[2.5, 4.5]",,-1.0381643955334567,-1.0150732115533883,
"[3.5, 4.5]",-0.4015907910139599,-0.4443117490706251,0.1752440933877141,
"[4.5, 4.5]",,-0.12801667763838442,9.274172716975977,
"[5.5, 4.5]",,0.006931458371455021,80.5444184615488,
"[6.5, 0.5]",,-0.25544891445521256,,-0.24972746463542964
"[6.5, 1.5]",-0.12358073872175653,,,-0.1297337247269673
"[6.5, 2.5]",-0.059150136529808,,,1.800684621352541
"[6.5, 4.5]",10.79375923646304,1.0064668830414287,,
"[6.5, 3.5]",-0.10783915106507921,,,56.51229922471783
