,0,1,2,3
"[0.5, 0.5]",,,-0.36390522787999996,-0.35686554344800003
"[1.5, 0.5]",,-0.1978592141568,-0.24580912,
"[2.5, 0.5]",,-0.0893,-0.14637,
"[0.5, 1.5]",-0.30048920509599997,,,-0.23653658199999997
"[0.5, 2.5]",-0.17880761815079999,,,-0.140378
"[0.5, 3.5]",-0.0805,,,-0.11432700000000001
"[3.5, 0.5]",,0.0,-0.0664,-0.0621
"[3.5, 1.5]",-0.0747,,,-0.0519
"[3.5, 2.5]",-0.0636,,,-0.04190000000000001
"[3.5, 3.5]",-0.0527,,,0.0
"[4.5, 0.5]",,0.0,-0.0572,
"[5.5, 0.5]",,0.0,0.0,
"[0.5, 4.5]",-0.136451043,,0.0,
