,0,1,2,3
"[0.5, 0.5]",,,-0.39576704890934583,-0.3975700937087557
"[0.5, 1.5]",-0.325953532833817,,,-0.32791452344629124
"[1.5, 0.5]",,-0.3270150035956999,-0.3234434327052815,
"[0.5, 2.5]",-0.28206661239060593,,,-0.28973726888967344
"[2.5, 0.5]",,-0.25565996677162117,-0.23939456574558227,
"[3.5, 0.5]",,-0.16359329345016282,-0.16588486111575587,-0.16651107917428226
"[4.5, 0.5]",,-0.1307308303782468,-0.13717409006611178,
"[5.5, 0.5]",,-0.1012250366544156,-0.11751500356556195,
"[6.5, 0.5]",,-0.08091314619558214,,-0.08839243169663835
"[3.5, 1.5]",-0.1306681219020914,,,-0.13770086966093947
"[3.5, 2.5]",-0.10061569883659943,,,-0.11812047018074977
"[3.5, 3.5]",-0.0803653197336398,,,-0.08814012401493829
"[3.5, 4.5]",-0.05007786535119432,-0.05016988237914017,0.08727933009629735,
"[4.5, 4.5]",,-0.02008071919,9.18998829566863,
"[2.5, 4.5]",,-0.11123682518167373,-0.0976488541502166,
"[1.5, 4.5]",,-0.1517360852381201,-0.1556698546946516,
"[0.5, 4.5]",-0.19192715373291425,,-0.1946261693703036,
"[0.5, 3.5]",-0.24197332970625615,,,-0.23292406572996827
"[6.5, 1.5]",-0.05070846556190638,,,-0.049492904509
"[6.5, 2.5]",-0.02017301823010255,,,1.5590770100000002
"[6.5, 3.5]",0.0,,,118.21197000000001
"[6.5, 4.5]",0.0,0.0,,
"[5.5, 4.5]",,0.0,259.4482575490773,
