,0,1,2,3
"[0.5, 0.5]",,,-10.401111511559415,-10.377111489450662
"[1.5, 0.5]",,-7.736212455883324,-7.721063428074962,
"[2.5, 0.5]",,-5.267505919922106,-5.262612029862972,
"[0.5, 1.5]",-8.26067348042279,,,-8.118816348420175
"[0.5, 2.5]",-6.281278374052649,,,-6.210744685799612
"[0.5, 3.5]",-4.6686517081178405,,,-4.620846945406905
"[3.5, 0.5]",,-2.893518003789147,-2.8962180883982906,-2.934772975114783
"[3.5, 1.5]",-2.0539090229365424,,,-2.0593602899940167
"[3.5, 2.5]",-1.3066559378061382,,,-1.2771757005294457
"[3.5, 3.5]",-0.7718305287368451,,,-0.7610303306311317
"[4.5, 0.5]",,-1.7929499141794156,-1.7328039542864093,
"[5.5, 0.5]",,-1.0085345408996267,-0.9663140952044745,
"[0.5, 4.5]",-3.447618030392,,-3.377719898133187,
"[1.5, 4.5]",,-2.2091555718200926,-2.2274371582753987,
"[2.5, 4.5]",,-1.1531416755588648,-1.1312612221256455,
"[3.5, 4.5]",-0.5211739639005005,-0.4443117490706251,1.6013010645589452,
"[4.5, 4.5]",,-0.17250541025301833,20.443283424151186,
"[5.5, 4.5]",,0.006931458371455021,169.38972246476908,
"[6.5, 0.5]",,-0.4689936660123798,,-0.44535227987058457
"[6.5, 1.5]",-0.20556086221293315,,,-0.09376684904666735
"[6.5, 2.5]",-0.059150136529807995,,,4.9951099152412395
"[6.5, 4.5]",10.793759236463039,1.0064668830414287,,
"[6.5, 3.5]",-0.1078391510650792,,,103.22868580109153
