,0,1,2,3
"[0.5, 0.5]",,,-4.293314170270367,-4.264475491493104
"[1.5, 0.5]",,-3.089472999471485,-3.104351412179856,
"[2.5, 0.5]",,-1.9775009434053739,-1.8432612474244197,
"[0.5, 1.5]",-3.2858247788725254,,,-3.1831916516302377
"[0.5, 2.5]",-2.238073636481953,,,-2.2052403412924813
"[0.5, 3.5]",-1.5554115557332084,,,-1.5283322916752793
"[3.5, 0.5]",,-0.7496815676774349,-0.7693336305402698,-0.7765280536694376
"[3.5, 1.5]",-0.4988677523975305,,,-0.5400848525970059
"[3.5, 2.5]",-0.3672715485915621,,,-0.2850070607520994
"[3.5, 3.5]",-0.2539572390095436,,,-0.27391080942222396
"[4.5, 0.5]",,-0.35376526823981636,-0.3551164516388928,
"[5.5, 0.5]",,-0.17702150810656572,-0.2065824254882405,
"[0.5, 4.5]",-1.1207553656344822,,-1.122379070537859,
"[1.5, 4.5]",,-0.7265647109058195,-0.7542188054366463,
"[2.5, 4.5]",,-0.4451929514219015,-0.4653720793962985,
"[3.5, 4.5]",-0.2809677418536944,-0.27484557581569585,-0.28499547181520646,
"[4.5, 4.5]",,-0.0878204254894122,0.47000052919975777,
"[5.5, 4.5]",,-0.018534675887441194,19.270095353486017,
"[6.5, 0.5]",,-0.10006305433782936,,-0.12622581232
"[6.5, 1.5]",-0.083348503312,,,-0.063196079
"[6.5, 2.5]",-0.03,,,-0.026947890000000002
"[6.5, 4.5]",0.37910424184913316,-0.0146,,
"[6.5, 3.5]",-0.0182801,,,29.326372109967252
