,0,1,2,3
"[0.5, 0.5]",,,-0.8084775095040766,-0.7978630699298848
"[1.5, 0.5]",,-0.49777243627130313,-0.5669175940659112,
"[2.5, 0.5]",,-0.2703753209224473,-0.290287137,
"[0.5, 1.5]",-0.6004096498192433,,,-0.5493913140351868
"[0.5, 2.5]",-0.35724134050786804,,,-0.28241867579999996
"[0.5, 3.5]",-0.24211924138106006,,,-0.17498373
"[3.5, 0.5]",,-0.08132354071863111,-0.0664,-0.1256461
"[3.5, 1.5]",-0.0747,,,-0.10425809999999999
"[3.5, 2.5]",-0.0636,,,-0.083481
"[3.5, 3.5]",-0.10684540000000001,,,-0.060983
"[4.5, 0.5]",,0.0,-0.0572,
"[5.5, 0.5]",,0.0,0.0,
"[0.5, 4.5]",-0.2064256709870702,,-0.052000000000000005,
"[1.5, 4.5]",,-0.063568,-0.0429,
"[2.5, 4.5]",,-0.0535,-0.0320872,
"[3.5, 4.5]",-0.08177474700000001,-0.0385,-0.020800000000000003,
"[4.5, 4.5]",,-0.029700000000000004,0.0,
