,0,1,2,3
"[0.5, 0.5]",,,-0.11769580285965564,-0.11812641512836214
"[0.5, 1.5]",-0.10029543346556759,,,-0.08910619935765349
"[1.5, 0.5]",,-0.09141664499355015,-0.08886121000733392,
"[0.5, 2.5]",-0.08059315050534822,,,-0.0791877912411757
"[2.5, 0.5]",,-0.07053293227639652,-0.06934094794702982,
"[3.5, 0.5]",,-0.05026121586414041,-0.049455378099999996,-0.049634120881000006
"[4.5, 0.5]",,-0.04003452892832773,-0.01999,
"[5.5, 0.5]",,-0.01009,-0.0199,
"[6.5, 0.5]",,-0.01,,-0.01
"[3.5, 1.5]",-0.039938420881,,,-0.0399392308
"[3.5, 2.5]",-0.0301480390171,,,-0.0398510218
"[3.5, 3.5]",-0.029971613799999998,,,-0.039937627
"[3.5, 4.5]",-0.03005902819,-0.0300590209,-0.03958309,
"[4.5, 4.5]",,-0.02008071919,0.2501,
"[2.5, 4.5]",,-0.04012109890726766,-0.03976201819,
"[1.5, 4.5]",,-0.05034583361301857,-0.0497222488891,
"[0.5, 4.5]",-0.060298296241439606,,-0.05949806086408014,
"[0.5, 3.5]",-0.0702569202241499,,,-0.06925696858179724
"[6.5, 1.5]",0.0,,,-0.01
"[6.5, 2.5]",0.0,,,-0.01
"[6.5, 3.5]",0.0,,,30.0
"[6.5, 4.5]",0.0,0.0,,
"[5.5, 4.5]",,0.0,59.7,
