,0,1,2,3
"[0.5, 0.5]",,,-4.444233585416896,-4.340879461442845
"[1.5, 0.5]",,-3.1956461846297555,-3.171397249284877,
"[2.5, 0.5]",,-1.9775009434053739,-1.963957014043542,
"[0.5, 1.5]",-3.3884063586162334,,,-3.2506068981855676
"[0.5, 2.5]",-2.3322483622008034,,,-2.265342928504634
"[0.5, 3.5]",-1.638100102904214,,,-1.5810357670492368
"[3.5, 0.5]",,-0.838123233922194,-0.8835489878972852,-0.833752582904321
"[3.5, 1.5]",-0.5715231925083964,,,-0.5400848525970059
"[3.5, 2.5]",-0.3672715485915621,,,-0.2850070607520994
"[3.5, 3.5]",-0.2539572390095436,,,-0.27391080942222396
"[4.5, 0.5]",,-0.42641636804044314,-0.45466113771790256,
"[5.5, 0.5]",,-0.23910221935175924,-0.24741716872239855,
"[0.5, 4.5]",-1.1917465159797362,,-1.122379070537859,
"[1.5, 4.5]",,-0.7265647109058195,-0.7542188054366463,
"[2.5, 4.5]",,-0.4451929514219015,-0.4653720793962985,
"[3.5, 4.5]",-0.2809677418536944,-0.27484557581569585,-0.28499547181520646,
"[4.5, 4.5]",,-0.0878204254894122,0.47000052919975777,
"[5.5, 4.5]",,-0.018534675887441194,19.270095353486017,
"[6.5, 0.5]",,-0.10006305433782936,,-0.12622581232
"[6.5, 1.5]",-0.083348503312,,,-0.063196079
"[6.5, 2.5]",-0.03,,,-0.026947890000000002
"[6.5, 4.5]",0.37910424184913316,-0.0146,,
"[6.5, 3.5]",-0.0182801,,,29.326372109967252
