,0,1,2,3
"[0.5, 0.5]",,,-0.26837950748338546,-0.2696992883365589
"[0.5, 1.5]",-0.2230377136574729,,,-0.22428453492233139
"[1.5, 0.5]",,-0.22398846483115847,-0.2223753824002776,
"[0.5, 2.5]",-0.2014983310579408,,,-0.19525844312545088
"[2.5, 0.5]",,-0.1830492337898086,-0.17471298086495152,
"[3.5, 0.5]",,-0.1322913935270591,-0.12748926127811191,-0.12802055777054186
"[4.5, 0.5]",,-0.11047621768738926,-0.09857919364828605,
"[5.5, 0.5]",,-0.08086439670358629,-0.07884168203584647,
"[6.5, 0.5]",,-0.06049470974483562,,-0.059321093026327806
"[3.5, 1.5]",-0.11031226823416602,,,-0.10874830423531327
"[3.5, 2.5]",-0.09043560638946033,,,-0.08911484986546536
"[3.5, 3.5]",-0.0701613923677883,,,-0.06951932480975628
"[3.5, 4.5]",-0.05007786535119432,-0.05016988237914017,-0.044966282373909996,
"[4.5, 4.5]",,-0.02008071919,2.5973939699000006,
"[2.5, 4.5]",,-0.07041874684487126,-0.07899050894606682,
"[1.5, 4.5]",,-0.11106620651552146,-0.09875693544341987,
"[0.5, 4.5]",-0.1412079838585085,,-0.137379789036989,
"[0.5, 3.5]",-0.17111896153382747,,,-0.16631901747109523
"[6.5, 1.5]",-0.04047685115651064,,,-0.03958309
"[6.5, 2.5]",-0.02017301823010255,,,0.2501
"[6.5, 3.5]",0.0,,,59.7
"[6.5, 4.5]",0.0,0.0,,
"[5.5, 4.5]",,0.0,147.02985030000002,
