,0,1,2,3
"[0.5, 0.5]",,,-3.6849920891521837,-3.7279596824644803
"[1.5, 0.5]",,-2.6679331698269175,-2.495787731594583,
"[2.5, 0.5]",,-1.4962601755965186,-1.484928148864433,
"[0.5, 1.5]",-2.7638739527482334,,,-2.7746970022431623
"[0.5, 2.5]",-1.858712725932192,,,-1.8920888878064368
"[0.5, 3.5]",-1.3035367036585828,,,-1.3058197608787308
"[3.5, 0.5]",,-0.5777487782619815,-0.5982301749803639,-0.6119090464653482
"[3.5, 1.5]",-0.428236493135258,,,-0.4106196000992969
"[3.5, 2.5]",-0.31029614835648844,,,-0.2850070607520994
"[3.5, 3.5]",-0.2539572390095436,,,-0.24363128031621745
"[4.5, 0.5]",,-0.2106145494819636,-0.3038854712789624,
"[5.5, 0.5]",,-0.17702150810656572,-0.16331500808000002,
"[0.5, 4.5]",-0.9776520431736789,,-0.9772823726343194,
"[1.5, 4.5]",,-0.6651170126436934,-0.672892547107195,
"[2.5, 4.5]",,-0.4451929514219015,-0.39994823299373244,
"[3.5, 4.5]",-0.24250006094025092,-0.27484557581569585,-0.24620465657429647,
"[4.5, 4.5]",,-0.0878204254894122,0.3104048631272366,
"[5.5, 4.5]",,-0.018534675887441194,19.46663496708817,
"[6.5, 0.5]",,-0.10006305433782936,,-0.12622581232
"[6.5, 1.5]",-0.083348503312,,,-0.063196079
"[6.5, 2.5]",-0.03,,,-0.026947890000000002
"[6.5, 4.5]",0.21408178541427028,-0.0146,,
"[6.5, 3.5]",-0.0182801,,,19.518141587667284
