,0,1,2,3
"[0.5, 0.5]",,,-0.05949563711419,-0.059320262962
"[0.5, 1.5]",-0.050073806597806,,,-0.03985183099
"[1.5, 0.5]",,-0.0404662531852,-0.04963491468910001,
"[0.5, 2.5]",-0.03032598637891,,,-0.0298801
"[2.5, 0.5]",,-0.040214699122916794,-0.039850227190000004,
"[3.5, 0.5]",,-0.030150479107675,-0.029790999999999998,-0.029880910000000004
"[4.5, 0.5]",,-0.0199,-0.01999,
"[5.5, 0.5]",,-0.01009,-0.0199,
"[6.5, 0.5]",,-0.01,,-0.01
"[3.5, 1.5]",-0.0299700019,,,-0.01999
"[3.5, 2.5]",-0.0200791,,,-0.01999
"[3.5, 3.5]",-0.019990809999999998,,,-0.01
"[3.5, 4.5]",-0.01,-0.01,-0.0199,
"[4.5, 4.5]",,-0.01,-0.01,
"[2.5, 4.5]",,-0.01999,-0.01999,
"[1.5, 4.5]",,-0.01,-0.0298801,
"[0.5, 4.5]",-0.02007991,,-0.01999,
"[0.5, 3.5]",-0.019990809999999998,,,-0.0298801
"[6.5, 1.5]",0.0,,,-0.01
"[6.5, 2.5]",0.0,,,-0.01
"[6.5, 3.5]",0.0,,,30.0
"[6.5, 4.5]",0.0,0.0,,
"[5.5, 4.5]",,0.0,30.0,
