,0,1,2,3
"[0.5, 0.5]",,,-8.996858943167275,-8.96085315530062
"[1.5, 0.5]",,-6.702852017517065,-6.673263200378864,
"[2.5, 0.5]",,-4.422723465084492,-4.446815161114368,
"[0.5, 1.5]",-7.153507695199582,,,-6.942088024288533
"[0.5, 2.5]",-5.279363426782823,,,-5.195656990464163
"[0.5, 3.5]",-3.8720063344787827,,,-3.7560269455923274
"[3.5, 0.5]",,-2.3108061824322292,-2.3243915063864016,-2.316819554378009
"[3.5, 1.5]",-1.6764999568490724,,,-1.625650564393132
"[3.5, 2.5]",-1.1114777763470272,,,-0.9855736676448679
"[3.5, 3.5]",-0.6062449944322215,,,-0.603945275975109
"[4.5, 0.5]",,-1.2465599928756466,-1.2641394229480205,
"[5.5, 0.5]",,-0.6170954849421126,-0.6464001761737384,
"[0.5, 4.5]",-2.770145579569678,,-2.804231176201739,
"[1.5, 4.5]",,-1.8733470395861194,-1.8621281040665696,
"[2.5, 4.5]",,-1.0381643955334567,-1.0150732115533883,
"[3.5, 4.5]",-0.4015907910139599,-0.4443117490706251,0.1752440933877141,
"[4.5, 4.5]",,-0.12801667763838442,9.274172716975977,
"[5.5, 4.5]",,0.006931458371455021,80.5444184615488,
"[6.5, 0.5]",,-0.25544891445521256,,-0.24972746463542964
"[6.5, 1.5]",-0.12358073872175653,,,-0.1297337247269673
"[6.5, 2.5]",-0.059150136529808,,,1.800684621352541
"[6.5, 4.5]",10.79375923646304,1.0064668830414287,,
"[6.5, 3.5]",-0.10783915106507921,,,56.51229922471783
