,0,1,2,3
"[0.5, 0.5]",,,-7.864424332824199,-7.926143216463341
"[1.5, 0.5]",,-5.9214957417027145,-5.830697336711025,
"[2.5, 0.5]",,-3.8980940980190777,-3.809835954448642,
"[0.5, 1.5]",-6.168171522149002,,,-6.185459595830471
"[0.5, 2.5]",-4.583777195413933,,,-4.565652625728235
"[0.5, 3.5]",-3.3499361920050656,,,-3.332099749950708
"[3.5, 0.5]",,-1.932771037832754,-1.9125673481497671,-1.883269191244869
"[3.5, 1.5]",-1.3015803466645934,,,-1.279405997335384
"[3.5, 2.5]",-0.8011050574626349,,,-0.8430650393515478
"[3.5, 3.5]",-0.5529072778195379,,,-0.5516981160570564
"[4.5, 0.5]",,-1.0921247947470134,-1.0804078167623616,
"[5.5, 0.5]",,-0.5561276381711006,-0.5662295248261584,
"[0.5, 4.5]",-2.475560491186752,,-2.479060027696401,
"[1.5, 4.5]",,-1.6735569456538535,-1.6338278926462113,
"[2.5, 4.5]",,-0.9258970840606072,-0.9268582167003382,
"[3.5, 4.5]",-0.4015907910139599,-0.4443117490706251,-0.13091893964029658,
"[4.5, 4.5]",,-0.12801667763838442,7.461797615586846,
"[5.5, 4.5]",,0.006931458371455021,71.89136570708403,
"[6.5, 0.5]",,-0.25544891445521256,,-0.24972746463542964
"[6.5, 1.5]",-0.12358073872175653,,,-0.1297337247269673
"[6.5, 2.5]",-0.059150136529808,,,1.800684621352541
"[6.5, 4.5]",10.48525583672493,1.0064668830414287,,
"[6.5, 3.5]",-0.10783915106507921,,,46.88399534504006
