,0,1,2,3
"[0.5, 0.5]",,,-2.9800366659421402,-2.938715942847113
"[1.5, 0.5]",,-2.03584847455689,-2.0702237009965905,
"[2.5, 0.5]",,-1.205253778704376,-1.2305765573502465,
"[0.5, 1.5]",-2.1348832291731736,,,-2.0779007145510664
"[0.5, 2.5]",-1.2880591653788918,,,-1.260913902840784
"[0.5, 3.5]",-0.8058494860633494,,,-0.7436372704410722
"[3.5, 0.5]",,-0.49222286763003986,-0.48521212655981977,-0.4892874846066374
"[3.5, 1.5]",-0.3548550377036239,,,-0.3574027129381732
"[3.5, 2.5]",-0.24343492116726742,,,-0.2437336693677125
"[3.5, 3.5]",-0.20349862220730724,,,-0.21230311978489083
"[4.5, 0.5]",,-0.1393040021419231,-0.15973012,
"[5.5, 0.5]",,-0.058417687206798206,-0.0839628,
"[0.5, 4.5]",-0.5535647055087756,,-0.5446116237886705,
"[1.5, 4.5]",,-0.3611001789323936,-0.3932873659029813,
"[2.5, 4.5]",,-0.29457494342877,-0.2754513491049837,
"[3.5, 4.5]",-0.20320057913170217,-0.19256009218628328,-0.20019419316766737,
"[4.5, 4.5]",,-0.0878204254894122,-0.0019934327360100063,
"[5.5, 4.5]",,-0.018534675887441194,19.89500149,
"[6.5, 0.5]",,-0.0499,,-0.0642732
"[6.5, 1.5]",-0.041100000000000005,,,-0.042272
"[6.5, 2.5]",-0.03,,,-0.016311
"[6.5, 4.5]",0.0,-0.0146,,
"[6.5, 3.5]",-0.0182801,,,0.0
