,0,1,2,3
"[0.5, 0.5]",,,-0.45264690852861117,-0.5357138716426249
"[1.5, 0.5]",,-0.2984903534704957,-0.24580912,
"[2.5, 0.5]",,-0.0893,-0.14637,
"[0.5, 1.5]",-0.39995946009595995,,,-0.3977733604782
"[0.5, 2.5]",-0.268223944815156,,,-0.28241867579999996
"[0.5, 3.5]",-0.24211924138106006,,,-0.17498373
"[3.5, 0.5]",,0.0,-0.0664,-0.0621
"[3.5, 1.5]",-0.0747,,,-0.0519
"[3.5, 2.5]",-0.0636,,,-0.04190000000000001
"[3.5, 3.5]",-0.0527,,,0.0
"[4.5, 0.5]",,0.0,-0.0572,
"[5.5, 0.5]",,0.0,0.0,
"[0.5, 4.5]",-0.2064256709870702,,-0.052000000000000005,
"[1.5, 4.5]",,-0.063568,-0.0429,
"[2.5, 4.5]",,-0.0535,0.0,
