,0,1,2,3
"[0.5, 0.5]",,,-2.8195274065817406,-2.777557858361166
"[1.5, 0.5]",,-1.9312440580273267,-1.9253804557758165,
"[2.5, 0.5]",,-1.1095682648304344,-1.1650070056748079,
"[0.5, 1.5]",-2.029073418347083,,,-1.938476442447897
"[0.5, 2.5]",-1.1935114570207346,,,-1.1345410636264288
"[0.5, 3.5]",-0.7238463464143058,,,-0.7436372704410722
"[3.5, 0.5]",,-0.49222286763003986,-0.42440241468741663,-0.4892874846066374
"[3.5, 1.5]",-0.3548550377036239,,,-0.3574027129381732
"[3.5, 2.5]",-0.24343492116726742,,,-0.2437336693677125
"[3.5, 3.5]",-0.20349862220730724,,,-0.21230311978489083
"[4.5, 0.5]",,-0.1393040021419231,-0.15973012,
"[5.5, 0.5]",,-0.058417687206798206,-0.0839628,
"[0.5, 4.5]",-0.5535647055087756,,-0.5446116237886705,
"[1.5, 4.5]",,-0.3611001789323936,-0.3932873659029813,
"[2.5, 4.5]",,-0.29457494342877,-0.2754513491049837,
"[3.5, 4.5]",-0.20320057913170217,-0.19256009218628328,-0.20019419316766737,
"[4.5, 4.5]",,-0.0878204254894122,-0.0019934327360100063,
"[5.5, 4.5]",,-0.018534675887441194,19.89500149,
"[6.5, 0.5]",,-0.0499,,-0.0642732
"[6.5, 1.5]",-0.041100000000000005,,,-0.042272
"[6.5, 2.5]",-0.03,,,-0.016311
"[6.5, 4.5]",0.0,-0.0146,,
"[6.5, 3.5]",-0.0182801,,,0.0
